NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:const_setup,PushPop,366825,366825,1,1,2368732,2368732.0,2368732.0,2368732,2368732,0.0,sparse_poseidon_11
:const_setup,PushPop,366825,366825,1,1,702687,702687.0,702687.0,702687,702687,0.0,sparse_poseidon_12
:const_setup,PushPop,366825,366825,1,1,273535,273535.0,273535.0,273535,273535,0.0,sparse_poseidon_13
:const_setup,PushPop,366825,366825,1,1,160704,160704.0,160704.0,160704,160704,0.0,sparse_poseidon_20
:const_setup,PushPop,366825,366825,1,1,159712,159712.0,159712.0,159712,159712,0.0,sparse_poseidon_18
:const_setup,PushPop,366825,366825,1,1,159360,159360.0,159360.0,159360,159360,0.0,sparse_poseidon_21
:const_setup,PushPop,366825,366825,1,1,158848,158848.0,158848.0,158848,158848,0.0,sparse_poseidon_19
:const_setup,PushPop,366825,366825,1,1,158303,158303.0,158303.0,158303,158303,0.0,sparse_poseidon_16
:const_setup,PushPop,366825,366825,1,1,157599,157599.0,157599.0,157599,157599,0.0,sparse_poseidon_17
:const_setup,PushPop,366825,366825,1,1,157504,157504.0,157504.0,157504,157504,0.0,sparse_poseidon_15
:const_setup,PushPop,366825,366825,1,1,156960,156960.0,156960.0,156960,156960,0.0,sparse_poseidon_14
:const_setup,PushPop,366825,366825,1,1,78719,78719.0,78719.0,78719,78719,0.0,ntt_pass_fusion_2
:const_setup,PushPop,366825,366825,1,1,67424,67424.0,67424.0,67424,67424,0.0,ntt_pass_fusion_3
:const_setup,PushPop,366825,366825,1,1,38208,38208.0,38208.0,38208,38208,0.0,ntt_pass_fusion_1
:const_setup,PushPop,366825,366825,1,1,38080,38080.0,38080.0,38080,38080,0.0,loop_slice_fusion_10
:const_setup,PushPop,366825,366825,1,1,19679,19679.0,19679.0,19679,19679,0.0,ntt_pass_fusion
:const_setup,PushPop,366825,366825,1,1,19616,19616.0,19616.0,19616,19616,0.0,loop_concatenate_fusion
:const_setup,PushPop,366825,366825,1,1,11264,11264.0,11264.0,11264,11264,0.0,loop_reshape_fusion
:const_setup,PushPop,366825,366825,1,1,10848,10848.0,10848.0,10848,10848,0.0,loop_reshape_fusion_1
:const_setup,PushPop,366825,366825,1,1,5312,5312.0,5312.0,5312,5312,0.0,loop_slice_fusion_9
:const_setup,PushPop,366825,366825,1,1,1856,1856.0,1856.0,1856,1856,0.0,loop_slice_fusion_8
:const_setup,PushPop,366825,366825,1,1,1664,1664.0,1664.0,1664,1664,0.0,loop_concatenate_fusion_2
:const_setup,PushPop,366825,366825,1,1,1311,1311.0,1311.0,1311,1311,0.0,loop_concatenate_fusion_3
:const_setup,PushPop,366825,366825,1,1,1248,1248.0,1248.0,1248,1248,0.0,loop_multiply_fusion_1
:const_setup,PushPop,366825,366825,1,1,1152,1152.0,1152.0,1152,1152,0.0,loop_concatenate_fusion_1
:const_setup,PushPop,366825,366825,1,1,1088,1088.0,1088.0,1088,1088,0.0,input_concatenate_fusion
:const_setup,PushPop,366825,366825,1,1,1088,1088.0,1088.0,1088,1088,0.0,loop_concatenate_fusion_4
:const_setup,PushPop,366825,366825,1,1,1088,1088.0,1088.0,1088,1088,0.0,loop_concatenate_fusion_5
:const_setup,PushPop,366825,366825,1,1,1088,1088.0,1088.0,1088,1088,0.0,loop_concatenate_fusion_6
:const_setup,PushPop,366825,366825,1,1,1056,1056.0,1056.0,1056,1056,0.0,loop_concatenate_fusion_7
:const_setup,PushPop,366825,366825,1,1,1024,1024.0,1024.0,1024,1024,0.0,loop_multiply_fusion
:const_setup,PushPop,366825,366825,1,1,992,992.0,992.0,992,992,0.0,loop_concatenate_fusion_14
:const_setup,PushPop,366825,366825,1,1,960,960.0,960.0,960,960,0.0,loop_concatenate_fusion_8
:const_setup,PushPop,366825,366825,1,1,928,928.0,928.0,928,928,0.0,input_concatenate_fusion_1
:const_setup,PushPop,366825,366825,1,1,928,928.0,928.0,928,928,0.0,loop_concatenate_fusion_9
:const_setup,PushPop,366825,366825,1,1,928,928.0,928.0,928,928,0.0,loop_slice_fusion_7
:const_setup,PushPop,366825,366825,1,1,864,864.0,864.0,864,864,0.0,loop_concatenate_fusion_10
:const_setup,PushPop,366825,366825,1,1,832,832.0,832.0,832,832,0.0,loop_concatenate_fusion_13
:const_setup,PushPop,366825,366825,1,1,800,800.0,800.0,800,800,0.0,loop_concatenate_fusion_11
:const_setup,PushPop,366825,366825,1,1,768,768.0,768.0,768,768,0.0,loop_concatenate_fusion_12
:const_setup,PushPop,366825,366825,1,1,704,704.0,704.0,704,704,0.0,input_concatenate_fusion_2
:const_setup,PushPop,366825,366825,1,1,672,672.0,672.0,672,672,0.0,loop_slice_fusion_4
:const_setup,PushPop,366825,366825,1,1,672,672.0,672.0,672,672,0.0,loop_slice_fusion_5
:const_setup,PushPop,366825,366825,1,1,672,672.0,672.0,672,672,0.0,loop_slice_fusion_6
:const_setup,PushPop,366825,366825,1,1,640,640.0,640.0,640,640,0.0,loop_slice_fusion_3
:const_setup,PushPop,366825,366825,1,1,576,576.0,576.0,576,576,0.0,loop_slice_fusion_1
:const_setup,PushPop,366825,366825,1,1,575,575.0,575.0,575,575,0.0,loop_slice_fusion_2
